498430783699554305.txt:
['24165761', '498430783699554305', '0.0']->['33164207', '498430783699554305', '0.3']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['46549541', '498430783699554305', '58.1']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['148468128', '498430783699554305', '60.27']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['148468128', '498430783699554305', '60.27']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['1898602746', '498430783699554305', '62.78']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['1898602746', '498430783699554305', '62.78']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['944761292', '498430783699554305', '65.78']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['944761292', '498430783699554305', '65.78']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['38678889', '498430783699554305', '67.28']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['38678889', '498430783699554305', '67.28']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['48140420', '498430783699554305', '67.8']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['48140420', '498430783699554305', '67.8']  (Tweet is both parent and child)
['48140420', '498430783699554305', '67.8']->['280514057', '498430783699554305', '68.23']  (Multiple inconsistent parents)
['48140420', '498430783699554305', '67.8']->['280514057', '498430783699554305', '68.23']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['164475009', '498430783699554305', '68.33']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['164475009', '498430783699554305', '68.33']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['101047069', '498430783699554305', '68.7']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['101047069', '498430783699554305', '68.7']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['75911042', '498430783699554305', '69.13']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['75911042', '498430783699554305', '69.13']  (Tweet is both parent and child)
['61934810', '498440508256292864', '38.65']->['798151213', '498432131669192704', '5.37']  (Child before parent)
['61934810', '498440508256292864', '38.65']->['798151213', '498432131669192704', '5.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['30515073', '498430783699554305', '69.78']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['30515073', '498430783699554305', '69.78']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['42495580', '498430783699554305', '73.38']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['42495580', '498430783699554305', '73.38']  (Tweet is both parent and child)
['30515073', '498430783699554305', '69.78']->['85044813', '498430783699554305', '75.3']  (Multiple inconsistent parents)
['30515073', '498430783699554305', '69.78']->['85044813', '498430783699554305', '75.3']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['309190582', '498430783699554305', '75.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['309190582', '498430783699554305', '75.37']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['306355657', '498430783699554305', '76.57']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['306355657', '498430783699554305', '76.57']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['101115076', '498430783699554305', '77.88']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['101115076', '498430783699554305', '77.88']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['270043632', '498430783699554305', '78.72']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['270043632', '498430783699554305', '78.72']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['805500277', '498430783699554305', '78.82']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['805500277', '498430783699554305', '78.82']  (Tweet is both parent and child)
['367810627', '498430783699554305', '2.7']->['243415462', '498430783699554305', '79.68']  (Multiple inconsistent parents)
['367810627', '498430783699554305', '2.7']->['243415462', '498430783699554305', '79.68']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['834370586', '498430783699554305', '81.03']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['834370586', '498430783699554305', '81.03']  (Tweet is both parent and child)
['944761292', '498430783699554305', '65.78']->['402355096', '498430783699554305', '83.58']  (Multiple inconsistent parents)
['944761292', '498430783699554305', '65.78']->['402355096', '498430783699554305', '83.58']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['402355096', '498430783699554305', '83.58']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['402355096', '498430783699554305', '83.58']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['343571392', '498430783699554305', '85.53']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['343571392', '498430783699554305', '85.53']  (Tweet is both parent and child)
['343571392', '498430783699554305', '85.53']->['65922174', '498430783699554305', '87.48']  (Multiple inconsistent parents)
['343571392', '498430783699554305', '85.53']->['65922174', '498430783699554305', '87.48']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['714332930', '498430783699554305', '88.12']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['714332930', '498430783699554305', '88.12']  (Tweet is both parent and child)
['798151213', '498432131669192704', '5.37']->['402355096', '498430783699554305', '83.58']  (Multiple inconsistent parents)
['798151213', '498432131669192704', '5.37']->['402355096', '498430783699554305', '83.58']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['281765208', '498430783699554305', '97.7']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['281765208', '498430783699554305', '97.7']  (Tweet is both parent and child)
['1520501', '498430783699554305', '35.58']->['1361978082', '498430783699554305', '97.82']  (Multiple inconsistent parents)
['1520501', '498430783699554305', '35.58']->['1361978082', '498430783699554305', '97.82']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['495594167', '498430783699554305', '100.75']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['495594167', '498430783699554305', '100.75']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['173740053', '498430783699554305', '100.87']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['173740053', '498430783699554305', '100.87']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['139116024', '498430783699554305', '102.85']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['139116024', '498430783699554305', '102.85']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['156791270', '498430783699554305', '103.2']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['156791270', '498430783699554305', '103.2']  (Tweet is both parent and child)
['173740053', '498430783699554305', '100.87']->['859984766', '498430783699554305', '104.03']  (Multiple inconsistent parents)
['173740053', '498430783699554305', '100.87']->['859984766', '498430783699554305', '104.03']  (Tweet is both parent and child)
['192901546', '498430783699554305', '4.25']->['35742668', '498430783699554305', '104.85']  (Multiple inconsistent parents)
['192901546', '498430783699554305', '4.25']->['35742668', '498430783699554305', '104.85']  (Tweet is both parent and child)
['35742668', '498430783699554305', '104.85']->['415610646', '498430783699554305', '105.13']  (Multiple inconsistent parents)
['35742668', '498430783699554305', '104.85']->['415610646', '498430783699554305', '105.13']  (Tweet is both parent and child)
['35742668', '498430783699554305', '104.85']->['25001641', '498430783699554305', '106.12']  (Multiple inconsistent parents)
['35742668', '498430783699554305', '104.85']->['25001641', '498430783699554305', '106.12']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['188581494', '498430783699554305', '106.9']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['188581494', '498430783699554305', '106.9']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['21156753', '498430783699554305', '107.4']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['21156753', '498430783699554305', '107.4']  (Tweet is both parent and child)
['188581494', '498430783699554305', '106.9']->['96529318', '498430783699554305', '107.9']  (Multiple inconsistent parents)
['188581494', '498430783699554305', '106.9']->['96529318', '498430783699554305', '107.9']  (Tweet is both parent and child)
['281765208', '498430783699554305', '97.7']->['329811848', '498430783699554305', '108.72']  (Multiple inconsistent parents)
['281765208', '498430783699554305', '97.7']->['329811848', '498430783699554305', '108.72']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['51060847', '498430783699554305', '109.28']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['51060847', '498430783699554305', '109.28']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['53503202', '498430783699554305', '109.55']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['53503202', '498430783699554305', '109.55']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['377244724', '498430783699554305', '109.83']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['377244724', '498430783699554305', '109.83']  (Tweet is both parent and child)
['834370586', '498430783699554305', '81.03']->['18353051', '498430783699554305', '111.97']  (Multiple inconsistent parents)
['834370586', '498430783699554305', '81.03']->['18353051', '498430783699554305', '111.97']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['912593072', '498430783699554305', '118.07']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['912593072', '498430783699554305', '118.07']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['1884645062', '498430783699554305', '118.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['1884645062', '498430783699554305', '118.37']  (Tweet is both parent and child)
['17395031', '498430783699554305', '42.95']->['28603554', '498430783699554305', '119.57']  (Multiple inconsistent parents)
['17395031', '498430783699554305', '42.95']->['28603554', '498430783699554305', '119.57']  (Tweet is both parent and child)
['28603554', '498430783699554305', '119.57']->['34113126', '498430783699554305', '120.77']  (Multiple inconsistent parents)
['28603554', '498430783699554305', '119.57']->['34113126', '498430783699554305', '120.77']  (Tweet is both parent and child)
['30515073', '498430783699554305', '69.78']->['18931915', '498430783699554305', '121.29']  (Multiple inconsistent parents)
['30515073', '498430783699554305', '69.78']->['18931915', '498430783699554305', '121.29']  (Tweet is both parent and child)
['33164207', '498430783699554305', '0.3']->['476172271', '498430783699554305', '121.82']  (Multiple inconsistent parents)
['33164207', '498430783699554305', '0.3']->['476172271', '498430783699554305', '121.82']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2705501591', '498430783699554305', '125.7']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2705501591', '498430783699554305', '125.7']  (Tweet is both parent and child)
['834370586', '498430783699554305', '81.03']->['188055481', '498430783699554305', '126.47']  (Multiple inconsistent parents)
['834370586', '498430783699554305', '81.03']->['188055481', '498430783699554305', '126.47']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['40506570', '498430783699554305', '126.75']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['40506570', '498430783699554305', '126.75']  (Tweet is both parent and child)
['35742668', '498430783699554305', '104.85']->['63582982', '498430783699554305', '126.89']  (Multiple inconsistent parents)
['35742668', '498430783699554305', '104.85']->['63582982', '498430783699554305', '126.89']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['162125147', '498430783699554305', '127.03']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['162125147', '498430783699554305', '127.03']  (Tweet is both parent and child)
['63582982', '498430783699554305', '126.89']->['56374345', '498430783699554305', '128.45']  (Multiple inconsistent parents)
['63582982', '498430783699554305', '126.89']->['56374345', '498430783699554305', '128.45']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['167270623', '498430783699554305', '129.35']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['167270623', '498430783699554305', '129.35']  (Tweet is both parent and child)
['402355096', '498430783699554305', '83.58']->['798151213', '498432131669192704', '5.37']  (Child before parent)
['402355096', '498430783699554305', '83.58']->['798151213', '498432131669192704', '5.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['592206883', '498430783699554305', '140.15']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['592206883', '498430783699554305', '140.15']  (Tweet is both parent and child)
['53503202', '498430783699554305', '109.55']->['64147321', '498430783699554305', '142.07']  (Multiple inconsistent parents)
['53503202', '498430783699554305', '109.55']->['64147321', '498430783699554305', '142.07']  (Tweet is both parent and child)
['35742668', '498430783699554305', '104.85']->['2685675647', '498430783699554305', '143.22']  (Multiple inconsistent parents)
['35742668', '498430783699554305', '104.85']->['2685675647', '498430783699554305', '143.22']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['709693896', '498430783699554305', '143.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['709693896', '498430783699554305', '143.37']  (Tweet is both parent and child)
['2685675647', '498430783699554305', '143.22']->['964624130', '498430783699554305', '144.55']  (Multiple inconsistent parents)
['2685675647', '498430783699554305', '143.22']->['964624130', '498430783699554305', '144.55']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['111411284', '498430783699554305', '145.63']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['111411284', '498430783699554305', '145.63']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['54441901', '498430783699554305', '146.16']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['54441901', '498430783699554305', '146.16']  (Tweet is both parent and child)
['17004629', '498430783699554305', '12.38']->['359690061', '498430783699554305', '146.7']  (Multiple inconsistent parents)
['17004629', '498430783699554305', '12.38']->['359690061', '498430783699554305', '146.7']  (Tweet is both parent and child)
['53503202', '498430783699554305', '109.55']->['225071374', '498430783699554305', '147.87']  (Multiple inconsistent parents)
['53503202', '498430783699554305', '109.55']->['225071374', '498430783699554305', '147.87']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['155007941', '498430783699554305', '149.03']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['155007941', '498430783699554305', '149.03']  (Tweet is both parent and child)
['85044813', '498430783699554305', '75.3']->['116515589', '498430783699554305', '149.08']  (Multiple inconsistent parents)
['85044813', '498430783699554305', '75.3']->['116515589', '498430783699554305', '149.08']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['313468076', '498430783699554305', '151.4']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['313468076', '498430783699554305', '151.4']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['634101451', '498430783699554305', '153.82']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['634101451', '498430783699554305', '153.82']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['279843906', '498430783699554305', '154.1']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['279843906', '498430783699554305', '154.1']  (Tweet is both parent and child)
['1520501', '498430783699554305', '35.58']->['790142156', '498430783699554305', '158.27']  (Multiple inconsistent parents)
['1520501', '498430783699554305', '35.58']->['790142156', '498430783699554305', '158.27']  (Tweet is both parent and child)
['359690061', '498430783699554305', '146.7']->['352518620', '498430783699554305', '159.08']  (Multiple inconsistent parents)
['359690061', '498430783699554305', '146.7']->['352518620', '498430783699554305', '159.08']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['44163780', '498430783699554305', '160.78']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['44163780', '498430783699554305', '160.78']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['113946346', '498430783699554305', '161.08']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['113946346', '498430783699554305', '161.08']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['61016475', '498430783699554305', '166.63']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['61016475', '498430783699554305', '166.63']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['21519788', '498430783699554305', '167.25']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['21519788', '498430783699554305', '167.25']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['20755323', '498430783699554305', '171.1']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['20755323', '498430783699554305', '171.1']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['128264038', '498430783699554305', '173.42']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['128264038', '498430783699554305', '173.42']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['51921347', '498430783699554305', '174.07']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['51921347', '498430783699554305', '174.07']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['35160637', '498430783699554305', '174.73']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['35160637', '498430783699554305', '174.73']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2663828317', '498430783699554305', '174.73']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2663828317', '498430783699554305', '174.73']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['222648594', '498430783699554305', '178.13']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['222648594', '498430783699554305', '178.13']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['237010090', '498430783699554305', '179.7']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['237010090', '498430783699554305', '179.7']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['1088004775', '498430783699554305', '181.75']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['1088004775', '498430783699554305', '181.75']  (Tweet is both parent and child)
